date,checkin,content,yesterday,today
2026/08/01,1,晨跑6公里,1,1
2026/08/02,1,跑步一公里,1,1
2026/08/03,1,跑步1公里与练腿,1,1
2026/08/04,1,跑步一公里与推胸,1,1
2026/08/05,1,跑步一公里与练背,1,1
2026/08/07,1,跑步3.6公里,1,1
2026/08/14,1,跑步3公里,1,1
2026/08/17,1,跑步1公里与练胸,1,1
2026/08/18,1,跑步3公里,1,1
2026/08/19,1,跑步1公里与练背,1,1
2026/08/20,1,跑步一公里加练腿,1,1
2026/08/21,1,坡度8快走30分钟,1,1
2026/08/25,1,推胸,1,1
2026/08/26,1,跑步3公里,1,1
2026/08/28,1,跑步3公里,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

